name,id,url,average_cost_for_two,price_range,cuisines,address,locality,city,zipcode,latitude,longitude,rating_text,aggregate_rating,votes,has_online_delivery,has_table_booking,is_delivering_now,menu_url,photos_url,featured_image,events_url,deeplink,thumb,currency,res_id
Jaco's Bayfront Bar and Grille,17580590,https://www.zomato.com/pensacola-fl/jacos-bayfront-bar-and-grille-pensacola?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,25,2,Tapas,"997 South Palafox, Pensacola, FL 32502",Pensacola,Pensacola,32502,30.4030340000,-87.2132740000,Good,3.9,502,0,0,0,https://www.zomato.com/pensacola-fl/jacos-bayfront-bar-and-grille-pensacola/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://www.zomato.com/pensacola-fl/jacos-bayfront-bar-and-grille-pensacola/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://b.zmtcdn.com/data/pictures/0/17580590/df3a3a4c04a22e689fec09cb023e53d3_featured_v2.jpg,https://www.zomato.com/pensacola-fl/jacos-bayfront-bar-and-grille-pensacola/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,zomato://restaurant/17580590,https://b.zmtcdn.com/data/pictures/0/17580590/df3a3a4c04a22e689fec09cb023e53d3_featured_v2.jpg,$,17580590
Native Cafe,17580476,https://www.zomato.com/pensacola-fl/native-cafe-pensacola-beach?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,25,2,"Breakfast, Burger","45 A Via De Luna Dr, Pensacola Beach, FL 32561",Pensacola Beach,Pensacola,32561,30.3347760000,-87.1329320000,Very Good,4.2,591,0,0,0,https://www.zomato.com/pensacola-fl/native-cafe-pensacola-beach/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://www.zomato.com/pensacola-fl/native-cafe-pensacola-beach/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://b.zmtcdn.com/data/pictures/6/17580476/1b8ae9bdcbb4bdee5d3f5dcd945b7978_featured_v2.jpg,https://www.zomato.com/pensacola-fl/native-cafe-pensacola-beach/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,zomato://restaurant/17580476,https://b.zmtcdn.com/data/pictures/6/17580476/1b8ae9bdcbb4bdee5d3f5dcd945b7978_featured_v2.jpg,$,17580476
Jimmie's Hot Dogs,17284158,https://www.zomato.com/albany-ga/jimmies-hot-dogs-albany?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,10,1,,"204 S Jackson St, Albany, GA 31701",Albany,Albany,31701,31.5751000000,-84.1534000000,Good,3.9,160,0,0,0,https://www.zomato.com/albany-ga/jimmies-hot-dogs-albany/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://www.zomato.com/albany-ga/jimmies-hot-dogs-albany/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,,https://www.zomato.com/albany-ga/jimmies-hot-dogs-albany/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,zomato://restaurant/17284158,,$,17284158
The Catch Seafood Room & Oyster Bar,17284390,https://www.zomato.com/albany-ga/the-catch-seafood-room-oyster-bar-albany?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,40,3,"Seafood, Tapas, Bar Food","2332 Whispering Pines Road, Albany, GA 31707",Albany,Albany,31707,31.6058820000,-84.2050250000,Good,3.8,250,0,0,0,https://www.zomato.com/albany-ga/the-catch-seafood-room-oyster-bar-albany/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://www.zomato.com/albany-ga/the-catch-seafood-room-oyster-bar-albany/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,,https://www.zomato.com/albany-ga/the-catch-seafood-room-oyster-bar-albany/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,zomato://restaurant/17284390,,$,17284390
Henry Campbell's Steakhouse,17284403,https://www.zomato.com/albany-ga/henry-campbells-steakhouse-albany?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,70,4,"Steak, Tapas, Bar Food","629 N. Westover Blvd, Albany, GA 31707",Albany,Albany,31707,31.6121210000,-84.2232780000,Good,3.5,51,0,0,0,https://www.zomato.com/albany-ga/henry-campbells-steakhouse-albany/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://www.zomato.com/albany-ga/henry-campbells-steakhouse-albany/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,,https://www.zomato.com/albany-ga/henry-campbells-steakhouse-albany/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,zomato://restaurant/17284403,,$,17284403
Harvest Moon,17284139,https://www.zomato.com/albany-ga/harvest-moon-albany-albany?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,25,2,"Pizza, Bar Food, Sandwich","2347 Dawson Road, Albany, GA 31707",Albany,Albany,31707,31.6049050000,-84.2057180000,Good,3.7,147,0,0,0,https://www.zomato.com/albany-ga/harvest-moon-albany-albany/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://www.zomato.com/albany-ga/harvest-moon-albany-albany/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,,https://www.zomato.com/albany-ga/harvest-moon-albany-albany/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,zomato://restaurant/17284139,,$,17284139
Locos Grill & Pub,17284175,https://www.zomato.com/albany-ga/locos-grill-pub-albany?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,25,2,"American, Burger, Sandwich","547 N Westover Blvd, Albany, GA 31707",Albany,Albany,31707,31.6077000000,-84.2228000000,Good,3.5,57,0,0,0,https://www.zomato.com/albany-ga/locos-grill-pub-albany/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://www.zomato.com/albany-ga/locos-grill-pub-albany/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,,https://www.zomato.com/albany-ga/locos-grill-pub-albany/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,zomato://restaurant/17284175,,$,17284175
Villa Gargano,17284279,https://www.zomato.com/albany-ga/villa-gargano-albany?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,10,1,"Italian, Pizza","1604 N Slappey Blvd, Albany, GA 31701",Albany,Albany,31701,31.5985000000,-84.1757000000,Good,3.7,117,0,0,0,https://www.zomato.com/albany-ga/villa-gargano-albany/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://www.zomato.com/albany-ga/villa-gargano-albany/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,,https://www.zomato.com/albany-ga/villa-gargano-albany/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,zomato://restaurant/17284279,,$,17284279
House of China Restaurant II,17284150,https://www.zomato.com/albany-ga/house-of-china-restaurant-ii-albany?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,10,1,Chinese,"2526 Dawson Rd Ste A, Albany, GA 31707",Albany,Albany,31707,31.6104000000,-84.2120000000,Good,3.8,153,0,0,0,https://www.zomato.com/albany-ga/house-of-china-restaurant-ii-albany/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://www.zomato.com/albany-ga/house-of-china-restaurant-ii-albany/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,,https://www.zomato.com/albany-ga/house-of-china-restaurant-ii-albany/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,zomato://restaurant/17284150,,$,17284150
Guang Zhou Chinese Restaurant,17284409,https://www.zomato.com/albany-ga/guang-zhou-chinese-restaurant-albany?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,10,1,"Asian, Chinese, Vegetarian","1214 N Westover Blvd, Albany, GA 31707",Albany,Albany,31707,31.6155186000,-84.2091458000,Good,3.9,141,0,0,0,https://www.zomato.com/albany-ga/guang-zhou-chinese-restaurant-albany/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://www.zomato.com/albany-ga/guang-zhou-chinese-restaurant-albany/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,,https://www.zomato.com/albany-ga/guang-zhou-chinese-restaurant-albany/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,zomato://restaurant/17284409,,$,17284409
